Date,BDI_Close,BDI_High,BDI_Low
2000-04-17,1674,1674,1674
2000-04-18,1670,1670,1670
2000-04-19,1661,1661,1661
2000-04-20,1656,1656,1656
2000-04-25,1647,1647,1647
2000-04-26,1641,1641,1641
2000-04-27,1635,1635,1635
2000-04-28,1628,1628,1628
2000-05-02,1622,1622,1622
2000-05-03,1615,1615,1615
2000-05-04,1609,1609,1609
2000-05-05,1609,1609,1609
2000-05-08,1607,1607,1607
2000-05-09,1609,1609,1609
2000-05-10,1611,1611,1611
2000-05-11,1614,1614,1614
2000-05-12,1616,1616,1616
2000-05-16,1612,1612,1612
2000-05-17,1610,1610,1610
2000-05-18,1609,1609,1609
2000-05-19,1607,1607,1607
2000-05-22,1606,1606,1606
2000-05-23,1598,1598,1598
2000-05-24,1589,1589,1589
2000-05-25,1582,1582,1582
2000-05-26,1576,1576,1576
2000-05-30,1569,1569,1569
2000-05-31,1566,1566,1566
2000-06-01,1562,1562,1562
2000-06-02,1562,1562,1562
2000-06-05,1561,1561,1561
2000-06-06,1559,1559,1559
2000-06-07,1559,1559,1559
2000-06-08,1562,1562,1562
2000-06-09,1564,1564,1564
2000-06-12,1566,1566,1566
2000-06-13,1569,1569,1569
2000-06-14,1570,1570,1570
2000-06-15,1577,1577,1577
2000-06-16,1586,1586,1586
2000-06-19,1592,1592,1592
2000-06-20,1599,1599,1599
2000-06-21,1612,1612,1612
2000-06-22,1620,1620,1620
2000-06-23,1624,1624,1624
2000-06-26,1626,1626,1626
2000-06-27,1625,1625,1625
2000-06-28,1621,1621,1621
2000-06-29,1618,1618,1618
2000-06-30,1616,1616,1616
2000-07-03,1613,1613,1613
2000-07-04,1610,1610,1610
2000-07-05,1607,1607,1607
2000-07-06,1603,1603,1603
2000-07-07,1601,1601,1601
2000-07-10,1600,1600,1600
2000-07-11,1600,1600,1600
2000-07-12,1604,1604,1604
2000-07-13,1609,1609,1609
2000-07-14,1616,1616,1616
2000-07-17,1621,1621,1621
2000-07-18,1626,1626,1626
2000-07-19,1626,1626,1626
2000-07-20,1629,1629,1629
2000-07-21,1628,1628,1628
2000-07-24,1629,1629,1629
2000-07-25,1629,1629,1629
2000-07-26,1628,1628,1628
2000-07-27,1628,1628,1628
2000-07-28,1634,1634,1634
2000-07-31,1642,1642,1642
2000-08-01,1645,1645,1645
2000-08-02,1646,1646,1646
2000-08-03,1648,1648,1648
2000-08-07,1651,1651,1651
2000-08-08,1647,1647,1647
2000-08-09,1642,1642,1642
2000-08-10,1641,1641,1641
2000-08-11,1640,1640,1640
2000-08-14,1637,1637,1637
2000-08-15,1634,1634,1634
2000-08-16,1632,1632,1632
2000-08-17,1631,1631,1631
2000-08-18,1629,1629,1629
2000-08-21,1628,1628,1628
2000-08-22,1627,1627,1627
2000-08-23,1629,1629,1629
2000-08-24,1633,1633,1633
2000-08-25,1638,1638,1638
2000-08-29,1641,1641,1641
2000-08-30,1645,1645,1645
2000-08-31,1652,1652,1652
2000-09-01,1661,1661,1661
2000-09-04,1666,1666,1666
2000-09-05,1671,1671,1671
2000-09-06,1676,1676,1676
2000-09-07,1689,1689,1689
2000-09-08,1696,1696,1696
2000-09-11,1701,1701,1701
2000-09-12,1705,1705,1705
2000-09-13,1708,1708,1708
2000-09-14,1711,1711,1711
2000-09-15,1714,1714,1714
2000-09-18,1719,1719,1719
2000-09-19,1725,1725,1725
2000-09-20,1732,1732,1732
2000-09-21,1737,1737,1737
2000-09-22,1738,1738,1738
2000-09-25,1740,1740,1740
2000-09-26,1739,1739,1739
2000-09-27,1738,1738,1738
2000-09-28,1737,1737,1737
2000-09-29,1739,1739,1739
2000-10-02,1735,1735,1735
2000-10-03,1729,1729,1729
2000-10-04,1726,1726,1726
2000-10-05,1721,1721,1721
2000-10-06,1720,1720,1720
2000-10-09,1719,1719,1719
2000-10-10,1719,1719,1719
2000-10-11,1718,1718,1718
2000-10-12,1718,1718,1718
2000-10-13,1721,1721,1721
2000-10-16,1724,1724,1724
2000-10-17,1727,1727,1727
2000-10-18,1732,1732,1732
2000-10-19,1736,1736,1736
2000-10-20,1740,1740,1740
2000-10-23,1744,1744,1744
2000-10-24,1748,1748,1748
2000-10-25,1751,1751,1751
2000-10-26,1754,1754,1754
2000-10-27,1756,1756,1756
2000-10-30,1758,1758,1758
2000-10-31,1759,1759,1759
2000-11-01,1759,1759,1759
2000-11-02,1761,1761,1761
2000-11-03,1762,1762,1762
2000-11-06,1761,1761,1761
2000-11-07,1759,1759,1759
2000-11-08,1756,1756,1756
2000-11-09,1752,1752,1752
2000-11-10,1747,1747,1747
2000-11-13,1742,1742,1742
2000-11-14,1732,1732,1732
2000-11-15,1723,1723,1723
2000-11-16,1716,1716,1716
2000-11-17,1711,1711,1711
2000-11-20,1708,1708,1708
2000-11-21,1701,1701,1701
2000-11-22,1696,1696,1696
2000-11-23,1693,1693,1693
2000-11-24,1691,1691,1691
2000-11-27,1688,1688,1688
2000-11-28,1683,1683,1683
2000-11-29,1678,1678,1678
2000-11-30,1672,1672,1672
2000-12-01,1664,1664,1664
2000-12-04,1657,1657,1657
2000-12-05,1647,1647,1647
2000-12-06,1639,1639,1639
2000-12-07,1633,1633,1633
2000-12-08,1621,1621,1621
2000-12-11,1614,1614,1614
2000-12-12,1598,1598,1598
2000-12-13,1587,1587,1587
2000-12-14,1581,1581,1581
2000-12-15,1582,1582,1582
2000-12-18,1584,1584,1584
2000-12-19,1588,1588,1588
2000-12-20,1592,1592,1592
2000-12-21,1596,1596,1596
2000-12-22,1598,1598,1598
2000-12-27,1600,1600,1600
2000-12-28,1598,1598,1598
2000-12-29,1599,1599,1599
2001-01-02,1599,1599,1599
2001-01-03,1596,1596,1596
2001-01-04,1594,1594,1594
2001-01-05,1591,1591,1591
2001-01-08,1591,1591,1591
2001-01-09,1593,1593,1593
2001-01-10,1592,1592,1592
2001-01-11,1587,1587,1587
2001-01-12,1582,1582,1582
2001-01-15,1581,1581,1581
2001-01-16,1579,1579,1579
2001-01-17,1573,1573,1573
2001-01-18,1567,1567,1567
2001-01-19,1566,1566,1566
2001-01-22,1559,1559,1559
2001-01-23,1552,1552,1552
2001-01-24,1543,1543,1543
2001-01-25,1537,1537,1537
2001-01-26,1528,1528,1528
2001-01-29,1523,1523,1523
2001-01-30,1514,1514,1514
2001-01-31,1504,1504,1504
2001-02-01,1493,1493,1493
2001-02-02,1488,1488,1488
2001-02-05,1480,1480,1480
2001-02-06,1472,1472,1472
2001-02-07,1461,1461,1461
2001-02-08,1455,1455,1455
2001-02-09,1449,1449,1449
2001-02-12,1445,1445,1445
2001-02-13,1445,1445,1445
2001-02-14,1446,1446,1446
2001-02-15,1453,1453,1453
2001-02-16,1461,1461,1461
2001-02-19,1469,1469,1469
2001-02-20,1477,1477,1477
2001-02-21,1488,1488,1488
2001-02-22,1501,1501,1501
2001-02-23,1510,1510,1510
2001-02-26,1522,1522,1522
2001-02-27,1531,1531,1531
2001-02-28,1537,1537,1537
2001-03-01,1538,1538,1538
2001-03-02,1537,1537,1537
2001-03-05,1537,1537,1537
2001-03-06,1527,1527,1527
2001-03-07,1520,1520,1520
2001-03-08,1511,1511,1511
2001-03-09,1500,1500,1500
2001-03-12,1496,1496,1496
2001-03-13,1493,1493,1493
2001-03-14,1497,1497,1497
2001-03-15,1502,1502,1502
2001-03-16,1506,1506,1506
2001-03-19,1508,1508,1508
2001-03-20,1508,1508,1508
2001-03-21,1508,1508,1508
2001-03-22,1505,1505,1505
2001-03-23,1502,1502,1502
2001-03-26,1496,1496,1496
2001-03-27,1486,1486,1486
2001-03-28,1468,1468,1468
2001-03-29,1452,1452,1452
2001-03-30,1438,1438,1438
2001-04-02,1430,1430,1430
2001-04-03,1424,1424,1424
2001-04-04,1423,1423,1423
2001-04-05,1424,1424,1424
2001-04-06,1427,1427,1427
2001-04-09,1427,1427,1427
2001-04-10,1428,1428,1428
2001-04-11,1428,1428,1428
2001-04-12,1429,1429,1429
2001-04-17,1429,1429,1429
2001-04-18,1432,1432,1432
2001-04-19,1441,1441,1441
2001-04-20,1453,1453,1453
2001-04-23,1462,1462,1462
2001-04-24,1460,1460,1460
2001-04-25,1462,1462,1462
2001-04-26,1463,1463,1463
2001-04-27,1461,1461,1461
2001-04-30,1459,1459,1459
2001-05-01,1453,1453,1453
2001-05-02,1453,1453,1453
2001-05-03,1454,1454,1454
2001-05-04,1456,1456,1456
2001-05-08,1460,1460,1460
2001-05-09,1465,1465,1465
2001-05-10,1472,1472,1472
2001-05-11,1478,1478,1478
2001-05-14,1481,1481,1481
2001-05-15,1479,1479,1479
2001-05-16,1473,1473,1473
2001-05-17,1466,1466,1466
2001-05-18,1461,1461,1461
2001-05-21,1452,1452,1452
2001-05-22,1442,1442,1442
2001-05-23,1433,1433,1433
2001-05-24,1423,1423,1423
2001-05-25,1416,1416,1416
2001-05-29,1408,1408,1408
2001-05-30,1400,1400,1400
2001-05-31,1389,1389,1389
2001-06-01,1382,1382,1382
2001-06-04,1372,1372,1372
2001-06-05,1366,1366,1366
2001-06-06,1360,1360,1360
2001-06-07,1356,1356,1356
2001-06-08,1356,1356,1356
2001-06-11,1355,1355,1355
2001-06-12,1358,1358,1358
2001-06-13,1366,1366,1366
2001-06-14,1373,1373,1373
2001-06-15,1380,1380,1380
2001-06-18,1386,1386,1386
2001-06-19,1387,1387,1387
2001-06-20,1390,1390,1390
2001-06-21,1391,1391,1391
2001-06-22,1392,1392,1392
2001-06-25,1393,1393,1393
2001-06-26,1394,1394,1394
2001-06-27,1393,1393,1393
2001-06-28,1391,1391,1391
2001-06-29,1386,1386,1386
2001-07-02,1380,1380,1380
2001-07-03,1375,1375,1375
2001-07-04,1360,1360,1360
2001-07-05,1347,1347,1347
2001-07-06,1331,1331,1331
2001-07-09,1320,1320,1320
2001-07-10,1303,1303,1303
2001-07-11,1286,1286,1286
2001-07-12,1271,1271,1271
2001-07-13,1256,1256,1256
2001-07-16,1233,1233,1233
2001-07-17,1213,1213,1213
2001-07-18,1190,1190,1190
2001-07-19,1168,1168,1168
2001-07-20,1148,1148,1148
2001-07-23,1138,1138,1138
2001-07-24,1132,1132,1132
2001-07-25,1117,1117,1117
2001-07-26,1102,1102,1102
2001-07-27,1084,1084,1084
2001-07-30,1067,1067,1067
2001-07-31,1049,1049,1049
2001-08-01,1037,1037,1037
2001-08-02,1023,1023,1023
2001-08-03,1021,1021,1021
2001-08-06,1014,1014,1014
2001-08-07,1007,1007,1007
2001-08-08,1001,1001,1001
2001-08-09,992,992,992
2001-08-10,982,982,982
2001-08-13,975,975,975
2001-08-14,971,971,971
2001-08-15,963,963,963
2001-08-16,967,967,967
2001-08-17,978,978,978
2001-08-20,979,979,979
2001-08-21,976,976,976
2001-08-22,973,973,973
2001-08-23,968,968,968
2001-08-24,961,961,961
2001-08-28,955,955,955
2001-08-29,949,949,949
2001-08-30,939,939,939
2001-08-31,927,927,927
2001-09-03,918,918,918
2001-09-04,910,910,910
2001-09-05,903,903,903
2001-09-06,898,898,898
2001-09-07,899,899,899
2001-09-10,902,902,902
2001-09-11,908,908,908
2001-09-12,918,918,918
2001-09-13,924,924,924
2001-09-14,934,934,934
2001-09-17,950,950,950
2001-09-18,974,974,974
2001-09-19,987,987,987
2001-09-20,994,994,994
2001-09-21,995,995,995
2001-09-24,995,995,995
2001-09-25,991,991,991
2001-09-26,983,983,983
2001-09-27,969,969,969
2001-09-28,952,952,952
2001-10-01,939,939,939
2001-10-02,926,926,926
2001-10-03,917,917,917
2001-10-04,910,910,910
2001-10-05,900,900,900
2001-10-08,893,893,893
2001-10-09,889,889,889
2001-10-10,888,888,888
2001-10-11,889,889,889
2001-10-12,893,893,893
2001-10-15,897,897,897
2001-10-16,902,902,902
2001-10-17,905,905,905
2001-10-18,907,907,907
2001-10-19,908,908,908
2001-10-22,907,907,907
2001-10-23,903,903,903
2001-10-24,897,897,897
2001-10-25,891,891,891
2001-10-26,884,884,884
2001-10-29,879,879,879
2001-10-30,870,870,870
2001-10-31,861,861,861
2001-11-01,853,853,853
2001-11-02,850,850,850
2001-11-05,847,847,847
2001-11-06,845,845,845
2001-11-07,843,843,843
2001-11-08,844,844,844
2001-11-09,846,846,846
2001-11-12,849,849,849
2001-11-13,851,851,851
2001-11-14,854,854,854
2001-11-15,854,854,854
2001-11-16,855,855,855
2001-11-19,857,857,857
2001-11-20,857,857,857
2001-11-21,859,859,859
2001-11-22,857,857,857
2001-11-23,861,861,861
2001-11-26,864,864,864
2001-11-27,866,866,866
2001-11-28,868,868,868
2001-11-29,867,867,867
2001-11-30,868,868,868
2001-12-03,868,868,868
2001-12-04,869,869,869
2001-12-05,869,869,869
2001-12-06,871,871,871
2001-12-07,872,872,872
2001-12-10,874,874,874
2001-12-11,873,873,873
2001-12-12,873,873,873
2001-12-13,872,872,872
2001-12-14,870,870,870
2001-12-17,868,868,868
2001-12-18,866,866,866
2001-12-19,865,865,865
2001-12-20,867,867,867
2001-12-21,869,869,869
2001-12-27,871,871,871
2001-12-28,876,876,876
2002-01-02,882,882,882
2002-01-03,889,889,889
2002-01-04,896,896,896
2002-01-07,906,906,906
2002-01-08,917,917,917
2002-01-09,929,929,929
2002-01-10,941,941,941
2002-01-11,950,950,950
2002-01-14,956,956,956
2002-01-15,964,964,964
2002-01-16,969,969,969
2002-01-17,969,969,969
2002-01-18,964,964,964
2002-01-21,958,958,958
2002-01-22,950,950,950
2002-01-23,941,941,941
2002-01-24,931,931,931
2002-01-25,924,924,924
2002-01-28,920,920,920
2002-01-29,915,915,915
2002-01-30,910,910,910
2002-01-31,908,908,908
2002-02-01,908,908,908
2002-02-04,909,909,909
2002-02-05,909,909,909
2002-02-06,911,911,911
2002-02-07,915,915,915
2002-02-08,922,922,922
2002-02-11,927,927,927
2002-02-12,933,933,933
2002-02-13,940,940,940
2002-02-14,947,947,947
2002-02-15,955,955,955
2002-02-18,963,963,963
2002-02-19,970,970,970
2002-02-20,978,978,978
2002-02-21,992,992,992
2002-02-22,1009,1009,1009
2002-02-25,1018,1018,1018
2002-02-26,1025,1025,1025
2002-02-27,1029,1029,1029
2002-02-28,1031,1031,1031
2002-03-01,1033,1033,1033
2002-03-04,1035,1035,1035
2002-03-05,1038,1038,1038
2002-03-06,1044,1044,1044
2002-03-07,1047,1047,1047
2002-03-08,1051,1051,1051
2002-03-11,1056,1056,1056
2002-03-12,1059,1059,1059
2002-03-13,1064,1064,1064
2002-03-14,1067,1067,1067
2002-03-15,1073,1073,1073
2002-03-18,1074,1074,1074
2002-03-19,1076,1076,1076
2002-03-20,1078,1078,1078
2002-03-21,1081,1081,1081
2002-03-22,1085,1085,1085
2002-03-25,1086,1086,1086
2002-03-26,1084,1084,1084
2002-03-27,1082,1082,1082
2002-03-28,1082,1082,1082
2002-04-02,1081,1081,1081
2002-04-03,1082,1082,1082
2002-04-04,1083,1083,1083
2002-04-05,1085,1085,1085
2002-04-08,1086,1086,1086
2002-04-09,1091,1091,1091
2002-04-10,1096,1096,1096
2002-04-11,1100,1100,1100
2002-04-12,1103,1103,1103
2002-04-15,1104,1104,1104
2002-04-16,1103,1103,1103
2002-04-17,1098,1098,1098
2002-04-18,1090,1090,1090
2002-04-19,1080,1080,1080
2002-04-22,1071,1071,1071
2002-04-23,1064,1064,1064
2002-04-24,1059,1059,1059
2002-04-25,1049,1049,1049
2002-04-26,1042,1042,1042
2002-04-29,1033,1033,1033
2002-04-30,1027,1027,1027
2002-05-01,1020,1020,1020
2002-05-02,1016,1016,1016
2002-05-03,1016,1016,1016
2002-05-07,1018,1018,1018
2002-05-08,1025,1025,1025
2002-05-09,1034,1034,1034
2002-05-10,1038,1038,1038
2002-05-13,1040,1040,1040
2002-05-14,1041,1041,1041
2002-05-15,1038,1038,1038
2002-05-16,1035,1035,1035
2002-05-17,1033,1033,1033
2002-05-20,1031,1031,1031
2002-05-21,1031,1031,1031
2002-05-22,1031,1031,1031
2002-05-23,1032,1032,1032
2002-05-24,1035,1035,1035
2002-05-27,1038,1038,1038
2002-05-28,1040,1040,1040
2002-05-29,1044,1044,1044
2002-05-30,1046,1046,1046
2002-05-31,1042,1042,1042
2002-06-05,1027,1027,1027
2002-06-06,1015,1015,1015
2002-06-07,1005,1005,1005
2002-06-10,998,998,998
2002-06-11,991,991,991
2002-06-12,984,984,984
2002-06-13,978,978,978
2002-06-14,978,978,978
2002-06-17,978,978,978
2002-06-18,981,981,981
2002-06-19,984,984,984
2002-06-20,988,988,988
2002-06-21,993,993,993
2002-06-24,997,997,997
2002-06-25,1000,1000,1000
2002-06-26,1003,1003,1003
2002-06-27,1006,1006,1006
2002-06-28,1005,1005,1005
2002-07-01,1005,1005,1005
2002-07-02,1004,1004,1004
2002-07-03,1002,1002,1002
2002-07-04,1003,1003,1003
2002-07-05,1004,1004,1004
2002-07-08,1005,1005,1005
2002-07-09,1006,1006,1006
2002-07-10,1007,1007,1007
2002-07-11,1005,1005,1005
2002-07-12,1004,1004,1004
2002-07-15,1002,1002,1002
2002-07-16,998,998,998
2002-07-17,993,993,993
2002-07-18,985,985,985
2002-07-19,981,981,981
2002-07-22,976,976,976
2002-07-23,972,972,972
2002-07-24,964,964,964
2002-07-25,962,962,962
2002-07-26,962,962,962
2002-07-29,964,964,964
2002-07-30,965,965,965
2002-07-31,968,968,968
2002-08-01,970,970,970
2002-08-02,971,971,971
2002-08-05,971,971,971
2002-08-06,971,971,971
2002-08-07,972,972,972
2002-08-08,978,978,978
2002-08-09,986,986,986
2002-08-12,992,992,992
2002-08-13,999,999,999
2002-08-14,1006,1006,1006
2002-08-15,1010,1010,1010
2002-08-16,1013,1013,1013
2002-08-19,1014,1014,1014
2002-08-20,1014,1014,1014
2002-08-21,1014,1014,1014
2002-08-22,1018,1018,1018
2002-08-23,1021,1021,1021
2002-08-27,1025,1025,1025
2002-08-28,1026,1026,1026
2002-08-29,1030,1030,1030
2002-08-30,1036,1036,1036
2002-09-02,1039,1039,1039
2002-09-03,1044,1044,1044
2002-09-04,1050,1050,1050
2002-09-05,1063,1063,1063
2002-09-06,1085,1085,1085
2002-09-09,1102,1102,1102
2002-09-10,1126,1126,1126
2002-09-11,1146,1146,1146
2002-09-12,1163,1163,1163
2002-09-13,1178,1178,1178
2002-09-16,1186,1186,1186
2002-09-17,1194,1194,1194
2002-09-18,1202,1202,1202
2002-09-19,1215,1215,1215
2002-09-20,1226,1226,1226
2002-09-23,1238,1238,1238
2002-09-24,1255,1255,1255
2002-09-25,1285,1285,1285
2002-09-26,1320,1320,1320
2002-09-27,1346,1346,1346
2002-09-30,1367,1367,1367
2002-10-01,1371,1371,1371
2002-10-02,1365,1365,1365
2002-10-03,1358,1358,1358
2002-10-04,1354,1354,1354
2002-10-07,1351,1351,1351
2002-10-08,1348,1348,1348
2002-10-09,1347,1347,1347
2002-10-10,1346,1346,1346
2002-10-11,1343,1343,1343
2002-10-14,1340,1340,1340
2002-10-15,1335,1335,1335
2002-10-16,1334,1334,1334
2002-10-17,1343,1343,1343
2002-10-18,1356,1356,1356
2002-10-21,1364,1364,1364
2002-10-22,1369,1369,1369
2002-10-23,1376,1376,1376
2002-10-24,1385,1385,1385
2002-10-25,1393,1393,1393
2002-10-28,1397,1397,1397
2002-10-29,1403,1403,1403
2002-10-30,1409,1409,1409
2002-10-31,1417,1417,1417
2002-11-01,1428,1428,1428
2002-11-04,1430,1430,1430
2002-11-05,1435,1435,1435
2002-11-06,1442,1442,1442
2002-11-07,1445,1445,1445
2002-11-08,1446,1446,1446
2002-11-11,1445,1445,1445
2002-11-12,1445,1445,1445
2002-11-13,1443,1443,1443
2002-11-14,1444,1444,1444
2002-11-15,1446,1446,1446
2002-11-18,1445,1445,1445
2002-11-19,1446,1446,1446
2002-11-20,1447,1447,1447
2002-11-21,1451,1451,1451
2002-11-22,1459,1459,1459
2002-11-25,1469,1469,1469
2002-11-26,1489,1489,1489
2002-11-27,1514,1514,1514
2002-11-28,1540,1540,1540
2002-11-29,1560,1560,1560
2002-12-02,1573,1573,1573
2002-12-03,1582,1582,1582
2002-12-04,1592,1592,1592
2002-12-05,1602,1602,1602
2002-12-06,1612,1612,1612
2002-12-09,1625,1625,1625
2002-12-10,1637,1637,1637
2002-12-11,1651,1651,1651
2002-12-12,1663,1663,1663
2002-12-13,1689,1689,1689
2002-12-16,1704,1704,1704
2002-12-17,1714,1714,1714
2002-12-18,1728,1728,1728
2002-12-19,1735,1735,1735
2002-12-20,1737,1737,1737
2002-12-23,1739,1739,1739
2002-12-24,1738,1738,1738
2003-01-02,1738,1738,1738
2003-01-03,1739,1739,1739
2003-01-06,1742,1742,1742
2003-01-07,1746,1746,1746
2003-01-08,1749,1749,1749
2003-01-09,1758,1758,1758
2003-01-10,1761,1761,1761
2003-01-13,1760,1760,1760
2003-01-14,1753,1753,1753
2003-01-15,1748,1748,1748
2003-01-16,1733,1733,1733
2003-01-17,1722,1722,1722
2003-01-20,1718,1718,1718
2003-01-21,1715,1715,1715
2003-01-22,1704,1704,1704
2003-01-23,1680,1680,1680
2003-01-24,1653,1653,1653
2003-01-27,1626,1626,1626
2003-01-28,1593,1593,1593
2003-01-29,1557,1557,1557
2003-01-30,1540,1540,1540
2003-01-31,1530,1530,1530
2003-02-03,1530,1530,1530
2003-02-04,1542,1542,1542
2003-02-05,1559,1559,1559
2003-02-06,1577,1577,1577
2003-02-07,1596,1596,1596
2003-02-10,1610,1610,1610
2003-02-11,1627,1627,1627
2003-02-12,1639,1639,1639
2003-02-13,1659,1659,1659
2003-02-14,1673,1673,1673
2003-02-17,1693,1693,1693
2003-02-18,1709,1709,1709
2003-02-19,1728,1728,1728
2003-02-20,1745,1745,1745
2003-02-21,1758,1758,1758
2003-02-24,1767,1767,1767
2003-02-25,1768,1768,1768
2003-02-26,1767,1767,1767
2003-02-27,1763,1763,1763
2003-02-28,1764,1764,1764
2003-03-03,1762,1762,1762
2003-03-04,1754,1754,1754
2003-03-05,1749,1749,1749
2003-03-06,1748,1748,1748
2003-03-07,1753,1753,1753
2003-03-10,1756,1756,1756
2003-03-11,1765,1765,1765
2003-03-12,1779,1779,1779
2003-03-13,1802,1802,1802
2003-03-14,1833,1833,1833
2003-03-17,1863,1863,1863
2003-03-18,1887,1887,1887
2003-03-19,1909,1909,1909
2003-03-20,1924,1924,1924
2003-03-21,1935,1935,1935
2003-03-24,1940,1940,1940
2003-03-25,1940,1940,1940
2003-03-26,1936,1936,1936
2003-03-27,1933,1933,1933
2003-03-28,1938,1938,1938
2003-03-31,1939,1939,1939
2003-04-01,1943,1943,1943
2003-04-02,1959,1959,1959
2003-04-03,1977,1977,1977
2003-04-04,1997,1997,1997
2003-04-07,2011,2011,2011
2003-04-08,2022,2022,2022
2003-04-09,2034,2034,2034
2003-04-10,2051,2051,2051
2003-04-11,2069,2069,2069
2003-04-14,2081,2081,2081
2003-04-15,2088,2088,2088
2003-04-16,2091,2091,2091
2003-04-17,2093,2093,2093
2003-04-22,2097,2097,2097
2003-04-23,2105,2105,2105
2003-04-24,2115,2115,2115
2003-04-25,2124,2124,2124
2003-04-28,2133,2133,2133
2003-04-29,2139,2139,2139
2003-04-30,2142,2142,2142
2003-05-01,2145,2145,2145
2003-05-02,2152,2152,2152
2003-05-06,2160,2160,2160
2003-05-07,2173,2173,2173
2003-05-08,2193,2193,2193
2003-05-09,2212,2212,2212
2003-05-12,2227,2227,2227
2003-05-13,2248,2248,2248
2003-05-14,2266,2266,2266
2003-05-15,2291,2291,2291
2003-05-16,2317,2317,2317
2003-05-19,2335,2335,2335
2003-05-20,2337,2337,2337
2003-05-21,2325,2325,2325
2003-05-22,2303,2303,2303
2003-05-23,2272,2272,2272
2003-05-27,2218,2218,2218
2003-05-28,2178,2178,2178
2003-05-29,2145,2145,2145
2003-05-30,2127,2127,2127
2003-06-02,2116,2116,2116
2003-06-03,2123,2123,2123
2003-06-04,2128,2128,2128
2003-06-05,2135,2135,2135
2003-06-06,2139,2139,2139
2003-06-09,2134,2134,2134
2003-06-10,2130,2130,2130
2003-06-11,2132,2132,2132
2003-06-12,2135,2135,2135
2003-06-13,2141,2141,2141
2003-06-16,2146,2146,2146
2003-06-17,2149,2149,2149
2003-06-18,2154,2154,2154
2003-06-19,2153,2153,2153
2003-06-20,2150,2150,2150
2003-06-23,2143,2143,2143
2003-06-24,2134,2134,2134
2003-06-25,2131,2131,2131
2003-06-26,2129,2129,2129
2003-06-27,2127,2127,2127
2003-06-30,2125,2125,2125
2003-07-01,2123,2123,2123
2003-07-02,2127,2127,2127
2003-07-03,2131,2131,2131
2003-07-04,2137,2137,2137
2003-07-07,2143,2143,2143
2003-07-08,2155,2155,2155
2003-07-09,2168,2168,2168
2003-07-10,2194,2194,2194
2003-07-11,2217,2217,2217
2003-07-14,2231,2231,2231
2003-07-15,2238,2238,2238
2003-07-16,2240,2240,2240
2003-07-17,2236,2236,2236
2003-07-18,2234,2234,2234
2003-07-21,2229,2229,2229
2003-07-22,2219,2219,2219
2003-07-23,2211,2211,2211
2003-07-24,2208,2208,2208
2003-07-25,2206,2206,2206
2003-07-28,2203,2203,2203
2003-07-29,2197,2197,2197
2003-07-30,2186,2186,2186
2003-07-31,2181,2181,2181
2003-08-01,2176,2176,2176
2003-08-04,2181,2181,2181
2003-08-05,2198,2198,2198
2003-08-06,2230,2230,2230
2003-08-07,2262,2262,2262
2003-08-08,2287,2287,2287
2003-08-11,2298,2298,2298
